Inputs:
Crystal-like:
[0, 4, 4, '*']
[0, 5, 2, '*']
Icosahedra-like:
[0, 0, 12, 0]
[0, 2, 8, 2]
Mixed:
[0, 3, 6, '*']

Outputs:
Total number of atoms categorized: 796
Crystal-like: 229
544	1	13	5	8	0	0	5	2	6	0	0	0	0	16.3042
546	1	11	9	2	0	0	4	4	3	0	0	0	0	17.7068
556	1	11	7	3	1	0	4	4	3	0	0	0	0	17.9292
562	1	12	10	0	2	0	4	4	4	0	0	0	0	19.1352
566	1	12	8	4	0	0	4	4	4	0	0	0	0	17.4664
603	1	11	8	2	1	0	4	4	3	0	0	0	0	19.2444
623	1	12	7	5	0	0	4	4	4	0	0	0	0	18.3911
629	1	13	7	6	0	0	4	4	5	0	0	0	0	17.6831
638	1	11	7	4	0	0	4	4	3	0	0	0	0	17.5723
641	1	11	6	4	1	0	4	4	3	0	0	0	0	16.5269
650	1	14	4	9	1	0	4	4	6	0	0	0	0	17.3233
654	1	13	8	5	0	0	5	2	6	0	0	0	0	17.4963
657	1	12	7	5	0	0	4	4	4	0	0	0	0	18.4521
659	1	12	7	4	1	0	4	4	4	0	0	0	0	17.6419
666	1	12	10	2	0	0	4	4	4	0	0	0	0	18.1204
670	1	12	8	4	0	0	4	4	4	0	0	0	0	18.3987
672	1	11	8	2	1	0	4	4	3	0	0	0	0	19.6585
679	1	13	7	5	1	0	4	4	5	0	0	0	0	17.9183
685	1	12	2	8	2	0	4	4	4	0	0	0	0	14.8605
690	1	13	8	5	0	0	4	4	5	0	0	0	0	17.3236
693	1	11	7	2	2	0	4	4	3	0	0	0	0	18.9263
695	1	11	6	5	0	0	4	4	3	0	0	0	0	16.5981
701	1	12	8	3	1	0	4	4	4	0	0	0	0	18.9611
705	1	12	8	4	0	0	5	2	5	0	0	0	0	17.9234
717	2	13	5	8	0	0	4	4	5	0	0	0	0	14.1038
742	2	12	5	7	0	0	4	4	4	0	0	0	0	14.3099
748	2	12	5	7	0	0	4	4	4	0	0	0	0	13.3733
751	2	13	4	5	4	0	4	4	5	0	0	0	0	13.4676
755	2	11	4	4	3	0	4	4	3	0	0	0	0	12.3394
756	2	13	4	8	1	0	5	2	6	0	0	0	0	13.3992
762	2	10	3	7	0	0	4	4	2	0	0	0	0	13.372
768	2	10	6	4	0	0	4	4	2	0	0	0	0	13.9918
771	2	12	9	3	0	0	4	4	4	0	0	0	0	14.9121
782	2	12	4	7	1	0	4	4	4	0	0	0	0	13.21
786	2	11	6	5	0	0	4	4	3	0	0	0	0	13.0972
793	2	11	7	4	0	0	4	4	3	0	0	0	0	14.5152
794	2	10	7	2	1	0	4	4	2	0	0	0	0	15.5786
796	2	12	6	6	0	0	4	4	4	0	0	0	0	13.2387
805	2	11	5	5	1	0	4	4	3	0	0	0	0	13.5629
808	2	11	8	3	0	0	4	4	3	0	0	0	0	15.7273
813	2	12	5	6	1	0	4	4	4	0	0	0	0	14.045
816	2	13	4	6	3	0	5	2	6	0	0	0	0	13.6743
818	2	13	7	6	0	0	4	4	5	0	0	0	0	13.2012
828	2	11	8	3	0	0	4	4	3	0	0	0	0	15.5991
830	2	12	4	7	1	0	4	4	4	0	0	0	0	12.7011
835	2	12	6	6	0	0	4	4	4	0	0	0	0	12.7922
853	2	11	4	5	2	0	4	4	3	0	0	0	0	13.0821
859	2	11	5	6	0	0	4	4	3	0	0	0	0	12.9863
872	2	12	7	4	1	0	4	4	4	0	0	0	0	13.9135
876	2	13	9	3	1	0	4	4	5	0	0	0	0	14.9981
878	2	11	8	3	0	0	4	4	3	0	0	0	0	15.9048
892	2	12	6	6	0	0	4	4	4	0	0	0	0	13.9626
905	2	11	6	4	1	0	4	4	3	0	0	0	0	14.9851
907	2	10	5	5	0	0	5	2	3	0	0	0	0	13.7069
912	2	11	9	2	0	0	4	4	3	0	0	0	0	15.3763
918	2	12	8	4	0	0	4	4	4	0	0	0	0	15.5027
925	2	13	8	4	1	0	5	2	6	0	0	0	0	14.8692
